education,experience,industry,interest,location,lookin4,offer,skill,uid
,,"19,111,53,127",,"Geneva Area, Switzerland","A Mentor,Funding,Co-founders","Co-founders,Investment",,59f70ab82706222d006f28ca
,,"125,94,111",,"Paris Area, France","A Mentor,Co-founders,Industry Expertise","Business Partner,Consultancy Work,Internship",,59f70abc2706222d006f28cb
,,"94,50",,"Paris Area, France","Clients,Funding,Internship","Exchange of Ideas,Industry Expertise,Investment Opportunity",,59f70abd2706222d006f28cc
,,,,Sunnyvale,A New Job,,,59f70abf2706222d006f28cd
,Lector,"68,70,103",Photography,Strasbourg,"A New Job,A Mentor,Exchange of Ideas","Consultancy Work,Exchange of Ideas,Freelancing",Funny,59f70ac02706222d006f28ce
,,"140,44",,Carentan,"A New Job,A Mentor,Clients,Exchange of Ideas,I am hiring,Professional Networking","Exchange of Ideas,Mentorship,Professional Networking",,59f70ac42706222d006f28cf
,,"122,10,105,144,33,96",,"Paris Area, France","Exchange of Ideas,A Mentor,I am hiring","Consultancy Work,Job Positions,Exchange of Ideas",,59f70ac62706222d006f28d0
,,"127,94,53,50",,"Paris Area, France","Co-founders,A Mentor,Funding,Internship","Exchange of Ideas,Internship,Investment Opportunity,Job Positions",,59f70ac82706222d006f28d1
Bioinformatics,"Co-founder,Co-founder & CEO","12,6,96,4,15","Entrepreneurship,Outdoor Activities,Playing Music,Surfing",Paris,"Business Partner,Co-founders,Exchange of Ideas,Funding,I am hiring","Consultancy Work,Industry Expertise,Services/Products,Socializing","Entrepreneurship,Innovation management,Presenting / Selling New Products,Startup Fund Raising",59f70acb2706222d006f28d3
,,"6,5,4,3,118",,"Paris Area, France","Business Partner,Clients,Co-founders,Exchange of Ideas,Funding,Internship,Investment Opportunities,I am hiring","Business Partner,Co-founders,Freelancing,Exchange of Ideas,Services/Products",,59f70acd2706222d006f28d4
,,"24,28,6,33,113,115",,Strasbourg,"Exchange of Ideas,Funding,Investment Opportunities,I am hiring","Exchange of Ideas,Industry Expertise,Socializing,Services/Products,Mentorship",,59f70ace2706222d006f28d5
,,"24,28",,France,"A New Job,A Mentor,Co-founders,Funding,Internship","Business Partner,Co-founders,Internship,Socializing",,59f70ad02706222d006f28d6
,,"4,123",,"Noida Area, India","A New Job,Clients,Funding,Professional Networking,Projects,Service/Product Providers,Exchange of Ideas,Co-founders","Professional Networking,Exchange of Ideas,Mentorship",,59f70ad22706222d006f28d7
,,,,"Copenhagen Area, Capital Region, Denmark",,,,59f70ad42706222d006f28d8
,,"25,140,80,38,99,91,6,27,130",,"Paris Area, France","Business Partner,Clients,Exchange of Ideas,Internship,Investment Opportunities,I am hiring,Professional Networking,Service/Product Providers","Business Partner,Consultancy Work,Exchange of Ideas,Industry Expertise,Internship,Job Positions,Mentorship,Services/Products",,59f70ad52706222d006f28d9
,,"28,34,80,98,103",,"Paris Area, France","Exchange of Ideas,I am hiring,Professional Networking,Service/Product Providers","Exchange of Ideas,Investment Opportunity,Mentorship,Services/Products",,59f70ad72706222d006f28da
,,"10,106,32,113,46,6,34,110,91",,"Warsaw, Masovian District, Poland","Co-founders,Funding,Service/Product Providers,A New Job,A Mentor,Business Partner","Services/Products,Socializing,Business Partner,Co-founders",,59f70ad92706222d006f28db
,,80,,"Brussels Area, Belgium","I am hiring,Industry Expertise",Exchange of Ideas,,59f70adb2706222d006f28dc
,,"36,99",,Other,A Mentor,"Exchange of Ideas,Business Partner,Mentorship,Job Positions",,59f70adc2706222d006f28dd
,,"111,127,140,80,126",,"Berlin Area, Germany","A New Job,Business Partner,Clients,Exchange of Ideas,Industry Expertise,Investment Opportunities,I am hiring,Professional Networking,Service/Product Providers","Exchange of Ideas,Freelancing,Investment Opportunity,Mentorship,Services/Products,Socializing",,59f70ade2706222d006f28de
,,"12,18,76,17",,Greater San Diego Area,I am hiring,Mentorship,,59f70ae02706222d006f28df
,,"12,124,14,17,13,70",,"Paris Area, France","A Mentor,Exchange of Ideas,Industry Expertise,I am hiring","Business Partner,Exchange of Ideas,Industry Expertise,Job Positions,Professional Networking",,59f70ae22706222d006f28e0
,,"38,43,143",,France,"A Mentor,Business Partner,Exchange of Ideas,Internship,I am hiring,Service/Product Providers,Industry Expertise,Projects","Exchange of Ideas,Services/Products,Socializing,Industry Expertise",,59f70ae32706222d006f28e1
,,"96,6,80,99,91",,N/A,"A New Job,Clients,Exchange of Ideas,I am hiring,Service/Product Providers,A Mentor,Industry Expertise","Consultancy Work,Exchange of Ideas,Job Positions,Mentorship,Professional Networking,Business Partner,Industry Expertise,Socializing,Services/Products",,59f70ae52706222d006f28e2
,,"124,14,17,13",,"Spokane, Washington Area","Exchange of Ideas,Internship,I am hiring",,,59f70ae72706222d006f28e3
